Kepler ID,Teff
2010137,3859
2010138,4794
2010152,5778
2010161,4808
2010191,5803
2010256,5919
2010345,
2010366,4821
2010374,5863
2010379,5635
2010414,6989
2010471,6642
2010509,5383
2010577,4521
2010579,4813
2010593,6047
2010594,5784
2010607,6122
2010658,5543
2010702,4958
2010736,5089
2010738,4067
2010835,5806
2010855,4949
2010931,5938
2010992,5412
2011042,5367
2011048,4644
2011059,5835
2011145,4116
2011160,5545
2011178,5714
2011185,5109
2011214,4940
2011314,4645
2011347,5783
2011352,5660
2011354,5499
2011406,5663
2011411,5538
2011417,4465
2011424,6505
2011428,
2011440,5496
2011444,5643
2011504,4579
2011533,4610
2011545,4895
2011556,4892
2011574,5879
2011582,4595
2011618,5564
2011641,5344
2011649,5275
2011675,4597
2011824,6350
2011827,4722
2011870,3796
2011878,4767
2011883,4364
2011887,5448
2011891,4563
2011901,5318
2011905,6114
2011908,4753
2011945,4673
2011991,5031
2012005,5786
2012065,4700
2012083,5644
2012090,5806
2012093,6011
2012186,5602
2012214,6750
2012216,4683
2012265,4802
2012273,
2012362,6218
2012377,5519
2012416,4345
2012426,
2012486,4780
2012563,5416
2012565,6131
2012622,4721
2012631,5021
2012640,4891
2012664,4614
2012690,5618
2012696,5276
2012722,6785
2012724,
2012731,3728
2012816,5836
2012821,5988
2012826,6127
2012841,5687
2012932,4760
2012983,5971
2013000,6074
2013145,
2013263,5173
2013284,5104
2013305,5109
2013368,6367
2013385,5229
2013402,5907
2013502,4835
2013503,5763
2013530,4629
2013564,5095
2013577,4677
2013590,5132
2013620,4208
2013627,4084
2013651,5550
2013754,4280
2013783,5602
2013790,4173
2013833,5649
2013843,4476
2013874,6047
2013883,6044
2014003,6172
2014065,4814
2014087,4778
2014203,4202
2014229,4365
2014282,5573
2014347,6073
2014377,4777
2014533,5930
2014544,4168
2014616,5164
2014684,4028
2014700,5663
2014737,4990
2014991,6194
2015013,5635
2015025,4635
2015035,5086
2015098,4937
2015124,4851
2015135,4600
2015138,5565
2015262,5481
2015302,4409
2015347,5215
2015385,4429
2015388,5925
2015424,
2015432,5149
2015501,7154
2015595,3196
2015616,4764
2015639,4218
2015659,5425
2015669,4474
2015703,4313
2015767,4078
2015820,4688
2015864,
2015883,5615
2015983,
2016026,5980
2016056,5612
2016104,5683
2016171,4993
2016219,4430
2016241,4476
2016248,5634
2016295,6224
2016319,5131
2016447,
2016452,5389
2016492,
2016522,5438
2016599,4504
2016657,5935
2016676,4951
2016678,5307
2016691,5096
2016706,4795
2016814,5635
2016946,4064
2016978,4597
2016979,4368
2017015,5433
2017075,5895
2017135,5405
2017157,4837
2017161,3175
2017221,6188
2017224,5925
2017246,5082
2017470,5930
2017507,4433
2017529,5838
2017534,
2017541,4199
2017570,5877
2017646,4289
2017659,4571
2017692,4250
2017739,
2017803,5056
2017860,6052
2017864,5084
2017962,
2017981,5465
2017988,5742
2018007,4636
2018044,6336
2018047,4008
2018063,6207
2018112,
2018169,5572
2018261,7282
2018280,
2018281,4560
2018283,4748
2018304,5735
2018310,5773
2018350,5607
2018383,4267
2018392,4663
2018420,5202
2018432,
2018437,5028
2018446,5147
2018481,4980
2018492,4924
2018537,4756
2018541,
2018585,4903
2018594,3477
2018619,5337
2018631,5942
2018642,4598
2018667,4600
2018677,5807
2018685,6477
2018701,5972
2018709,5455
2018739,3140
2018760,
2018799,5014
2018827,5936
2018855,5197
2018868,
2018906,4818
2018927,5105
2018930,4778
2018931,6712
2018949,5984
2019050,5734
2019076,5624
2019109,4578
2019140,5894
2019174,5528
2019199,5565
2019227,5905
2019230,6299
2019239,4849
2019258,4358
2019297,6202
2019316,4479
2019349,5217
2019352,3715
2019396,4598
2019444,6184
2019477,5352
2019481,4915
2019504,5386
2019518,5758
2019542,
2019553,4236
2019556,
2019575,6394
2019608,5188
2019658,5928
2019662,6224
2019709,5673
2019713,5490
2019720,5140
2019761,6464
2019828,5914
2019865,4233
2019877,5903
2019881,6058
2019893,
2019900,6187
2019912,5596
2019928,5630
2019959,4601
2019979,5122
2020029,4633
2020086,5639
2020175,10793
2020185,4289
2020280,4971
2020307,4387
2020364,5365
2020383,4641
2020387,5320
2020393,5354
2020437,4905
2020439,4822
2020444,6770
2020452,5703
2020463,5717
2020498,
2020581,
2020638,4337
2020703,5414
2020725,4662
2020763,
2020811,5971
2020818,5390
2020820,
2020830,4932
2020876,4578
2020966,
2020997,5774
2021060,
2021099,5794
2021100,6251
2021157,5016
2021161,5206
2021165,5701
2021174,5456
2021216,4696
2021440,4995
2021457,6064
2021470,5899
2021488,5215
2021501,5927
2021571,5805
2021633,5651
2021643,5828
2021736,5450
2140360,
2140389,4879
2140424,5049
2140446,4561
2140491,6072
2140493,5018
2140538,5270
2140552,
2140561,4632
2140601,
2140621,4888
2140642,
2140644,5639
2140651,4617
2140686,5918
2140780,
2140782,4946
2140807,5576
2140841,5854
2140862,5473
2140897,5453
2140909,4139
2140937,5916
2140955,5946
2140982,4688
2141003,4829
2141150,4689
2141152,5225
2141175,5551
2141179,4831
2141193,4980
2141255,4830
2141318,5607
2141339,6059
2141385,3897
2141387,
2141401,5722
2141413,4685
2141436,4767
2141466,5550
2141544,5917
2141652,4860
2141655,5528
2141658,
2141692,3187
2141697,6049
2141736,5468
2141746,
2141753,4679
2141781,4905
2141783,5827
2141787,5463
2141812,5528
2141852,5657
2141865,5595
2141927,5446
